x'
25, 27
24, 25
24, 26
21, 24
20, 22
17, 2
17, 19
18, 20
20, 20
22, 21
23, 24
24, 26
25, 26
26, 27
25, 26
22, 24
21, 22
19, 21
21, 23
20, 22
20, 22
22, 23
23, 23
24, 24
25, 26
25, 26
24, 26
22, 23
19, 22
17, 20
19, 21
18, 21
20, 22
22, 22
23, 24
24, 25
23, 24
25, 26
23, 24
22, 23
19, 22
17, 20
17, 19
19, 22
18, 21
22, 23
22, 23
24, 25
24, 26
25, 27
26, 28
24, 24
22, 23
18, 21
18, 20
18, 20
17, 20
20, 22
22, 23
25, 26
25, 26
26, 27
24, 25
22, 23
22, 22
18, 20
17, 19
18, 20
20, 21
19, 21
23, 23
24, 24
24, 24
25, 26
24, 24
22, 22
20, 20
20, 20
19, 20
19, 21
20, 21
21, 22
22, 24
24, 24
26, 26
26, 27
24, 24
23, 19
21, 18
17, 15
17, 15
18, 14
17, 16
20, 20
24, 23
25, 23
26, 26
27, 26
25, 23
22, 19
22, 19
20, 20
18, 19
16, 19
18, 18
21, 22
22, 23
23, 23
24, 24
26, 26
25, 25
24, 25
20, 22
18, 20
18, 20
19, 20
19, 20
22, 22
23, 223
24, 24
